,년,월,시간,주야,요일,시도,시군구,사고유형_대분류,면허경과년수,가해자법규위반,성별,연령,사망여부,가해자음주농도,보호장구,안전모_착용여부,도로종류,도로형태_대분류,도로형태,도로선형_대분류,도로선형_중분류,도로선형,교차로형태_대분류,교차로형태,노면상태_대분류,노면상태,기상상태,어린이보호구역여부,시도군구,exists,long,lat
113482,2018,5,16,주,일,경기도,양평군,차량단독,15~,안전운전 의무 불이행,남,36,1,0,안전모,착용,일반국도,단일로,고가도로위,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경기도양평군,1,127.489886111111,37.4889361111111
113501,2018,5,2,야,월,경기도,파주시,차대차,5~9,중앙선 침범,남,23,1,0,안전모,미착용,시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경기도파주시,1,126.781952777777,37.7570833333333
113527,2018,5,17,주,월,경기도,평택시,차량단독,15~,안전운전 의무 불이행,남,45,1,0,안전모,착용,일반국도,단일로,기타단일로,직선,직선,오르막,교차로아님,교차로아님,포장,건조,맑음,N,경기도평택시,1,127.114655555555,36.9894388888888
113557,2018,5,4,야,화,광주시,광산구,차량단독,미상,안전운전 의무 불이행,남,76,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,광주시광산구,1,126.793668011574,35.1399583648888
113559,2018,5,6,주,화,울산시,울주군,차량단독,미상,안전운전 의무 불이행,남,17,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,울산시울주군,1,129.242474811581,35.5223064790022
113662,2018,5,3,야,목,경기도,부천시,차량단독,5~9,안전운전 의무 불이행,남,27,1,0,안전모,미착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경기도부천시,1,126.766,37.5035917
113717,2018,5,1,야,금,경기도,화성시,차량단독,미상,안전운전 의무 불이행,남,57,1,0,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도화성시,1,126.833530555555,37.1968166666666
113839,2018,5,14,주,일,강원도,화천군,차대차,5~9,안전운전 의무 불이행,남,31,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,좌,오르막,교차로아님,교차로아님,포장,건조,맑음,N,강원도화천군,1,127.710355555555,38.1034083333333
113844,2018,5,16,주,일,충청북도,음성군,차량단독,15~,안전운전 의무 불이행,남,34,1,0,안전모,,일반국도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청북도음성군,1,127.692622222222,36.9374055555555
113917,2018,5,10,주,화,충청남도,당진시,차대차,15~,안전운전 의무 불이행,남,80,1,0,안전모,미착용,군도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청남도당진시,1,126.630252777777,36.89075
113922,2018,5,12,주,화,충청남도,천안시,차량단독,15~,안전운전 의무 불이행,남,70,1,0,안전모,미착용,지방도,단일로,교량위,직선,직선,오르막,교차로아님,교차로아님,포장,건조,맑음,N,충청남도천안시,1,127.152466666666,36.804125
113973,2018,5,5,야,수,경상남도,사천시,차량단독,5~9,안전운전 의무 불이행,남,75,1,0,안전모,,,교차로,교차로부근,직선,직선,오르막,교차로,교차로 - 삼지,포장,건조,맑음,N,경상남도사천시,1,128.066777777777,35.0002833333333
114021,2018,5,23,야,수,경상북도,구미시,차량단독,10~14,안전운전 의무 불이행,남,55,1,0,안전모,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도구미시,1,128.346777777777,36.11655
114101,2018,6,14,주,금,경상북도,군위군,차량단독,10~14,안전운전 의무 불이행,남,64,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상북도군위군,1,128.575077777777,36.2399972222222
114113,2018,6,17,주,금,충청남도,태안군,차대차,15~,중앙선 침범,남,54,1,0,안전모,착용,지방도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,충청남도태안군,1,126.299975,36.7426666666666
114137,2018,6,21,야,금,경기도,광명시,차량단독,15~,안전운전 의무 불이행,남,49,1,0,안전모,착용,시도,단일로,지하차도(도로)내,커브ㆍ곡각 ,우,오르막,교차로아님,교차로아님,포장,건조,맑음,N,경기도광명시,1,126.866708333333,37.47575
114139,2018,6,21,야,금,전라북도,군산시,차량단독,미상,안전운전 의무 불이행,남,55,1,0,안전모,,일반국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도군산시,1,126.738844444444,35.9646416666666
114172,2018,6,11,주,토,전라북도,남원시,차대차,미상,교차로 통행방법 위반,남,80,1,0,안전모,미착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,전라북도남원시,1,127.3925,35.4132555555555
114235,2018,6,10,주,일,전라남도,광양시,차량단독,1~4,안전운전 의무 불이행,여,36,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,전라남도광양시,1,127.698177777777,34.9375361111111
114313,2018,6,18,야,월,충청북도,충주시,차량단독,15~,안전운전 의무 불이행,남,67,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청북도충주시,1,127.928144444444,36.9881805555555
114487,2018,6,16,주,목,충청남도,계룡시,차량단독,5~9,안전운전 의무 불이행,남,64,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도계룡시,1,127.250930555555,36.2718361111111
