,년,월,시간,주야,요일,시도,시군구,사고유형_대분류,면허경과년수,가해자법규위반,성별,연령,사망여부,가해자음주농도,보호장구,안전모_착용여부,도로종류,도로형태_대분류,도로형태,도로선형_대분류,도로선형_중분류,도로선형,교차로형태_대분류,교차로형태,노면상태_대분류,노면상태,기상상태,어린이보호구역여부,시도군구,exists,long,lat
42315,2014,7,22,야,금,경상북도,칠곡군,차량단독,10~14,안전운전 의무 불이행,남,51,1,0.20%~0.24%,안전모,미착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도칠곡군,1,128.403797222222,35.9925472222222
42334,2014,7,7,주,토,울산시,동구,차대차,5~9,신호위반,남,23,1,0.05%~0.09%,안전모,착용,이면도로,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,울산시동구,1,129.416691882745,35.5051699632486
42394,2014,7,10,주,일,경상북도,청송군,차량단독,15~,,남,39,1,0,안전모,착용,일반국도,단일로,기타단일로,직선,직선,오르막,교차로아님,교차로아님,포장,건조,맑음,N,경상북도청송군,1,129.0594,36.4332916666666
42459,2014,7,16,주,월,서울시,용산구,차량단독,5~9,안전운전 의무 불이행,남,55,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시용산구,1,126.967522222222,37.5360944444444
42632,2014,7,17,주,목,전라남도,무안군,차량단독,미상,안전운전 의무 불이행,여,62,1,0,,,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라남도무안군,1,126.4837,34.9873694444444
42661,2014,7,22,야,목,울산시,남구,차대차,미상,안전운전 의무 불이행,남,83,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,오르막,교차로아님,교차로아님,포장,건조,맑음,N,울산시남구,1,129.330175357608,35.5440426532722
42675,2014,7,1,야,금,경상북도,성주군,차대차,1~4,안전운전 의무 불이행,남,18,1,0,,,일반국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,,맑음,N,경상북도성주군,1,128.285152777777,35.9162111111111
42676,2014,7,3,야,금,경기도,안산시,차대차,15~,신호위반,남,50,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,젖음/습기,비,N,경기도안산시,1,126.846819444444,37.2985194444444
42684,2014,7,10,주,금,경상북도,포항시,차대차,1~4,중앙선 침범,남,79,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도포항시,1,129.361666666666,36.0056861111111
42772,2014,7,19,야,토,대구시,서구,차대차,1~4,신호위반,남,57,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,대구시서구,1,128.559160069259,35.8719405397309
42850,2014,7,9,주,월,경상북도,경산시,차량단독,1~4,안전운전 의무 불이행,남,20,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상북도경산시,1,128.743463888888,35.8220888888888
42862,2014,7,13,주,월,경기도,성남시,차대차,15~,안전거리 미확보,남,69,1,0,안전모,미착용,시도,교차로,교차로부근,직선,직선,내리막,교차로,교차로 - 사지,포장,건조,맑음,N,경기도성남시,1,127.147719444444,37.4474916666666
43054,2014,7,10,주,목,전라북도,정읍시,차량단독,1~4,안전운전 의무 불이행,남,16,1,0,안전모,,시도,단일로,기타단일로,커브ㆍ곡각 ,우,내리막,교차로아님,교차로아님,포장,건조,맑음,N,전라북도정읍시,1,126.858111111111,35.5668722222222
43069,2014,7,14,주,목,경기도,가평군,차량단독,미상,안전운전 의무 불이행,남,39,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경기도가평군,1,127.511777777777,37.8288305555555
43374,2014,8,19,야,화,경상북도,봉화군,차량단독,미상,안전운전 의무 불이행,여,62,1,0,,,,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경상북도봉화군,1,128.734875,36.8902611111111
43482,2014,8,15,주,목,경기도,포천시,차대차,10~14,,남,53,1,0.15%~0.19%,안전모,미착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도포천시,1,127.202419444444,37.8921555555555
43577,2014,8,5,야,토,대구시,달서구,차대차,1~4,안전운전 의무 불이행,남,23,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,대구시달서구,1,128.532590453916,35.8299774381395
43623,2014,8,23,야,토,전라남도,여수시,차대차,미상,안전운전 의무 불이행,남,54,1,0.15%~0.19%,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라남도여수시,1,127.664386111111,34.7573111111111
43636,2014,8,13,주,일,부산시,강서구,차량단독,15~,안전운전 의무 불이행,남,75,1,0,안전모,,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시강서구,1,128.982908333333,35.2091638888888
43964,2014,8,7,주,토,경상북도,문경시,차대차,미상,신호위반,남,72,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 오지이상,포장,건조,흐림,N,경상북도문경시,1,128.189019444444,36.5836305555555
43972,2014,8,9,주,토,경상북도,구미시,차량단독,10~14,안전운전 의무 불이행,남,55,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,우,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경상북도구미시,1,128.346777777777,36.11655
44027,2014,8,0,야,일,경기도,안양시,차대차,1~4,중앙선 침범,남,19,1,0,안전모,미착용,지방도,단일로,횡단보도부근,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도안양시,1,126.953355555555,37.3897
44092,2014,8,9,주,월,충청북도,음성군,차대차,미상,신호위반,남,78,1,0,안전모,,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,젖음/습기,비,N,충청북도음성군,1,127.692622222222,36.9374055555555
44267,2014,8,17,주,목,전라북도,남원시,차대차,15~,,남,64,1,0,안전모,착용,시도,단일로,교량위,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도남원시,1,127.3925,35.4132555555555
44331,2014,8,19,야,금,경기도,화성시,차대차,15~,안전운전 의무 불이행,남,53,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,경기도화성시,1,126.833530555555,37.1968166666666
44347,2014,8,4,야,토,경기도,고양시,차량단독,15~,안전운전 의무 불이행,남,53,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경기도고양시,1,126.777055555555,37.6559083333333
44370,2014,8,17,주,토,경기도,남양주시,차량단독,10~14,안전운전 의무 불이행,남,65,1,0,안전모,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도남양주시,1,127.218633333333,37.6331777777777
44420,2014,8,13,주,일,충청남도,청양군,차량단독,5~9,안전운전 의무 불이행,남,58,1,0,안전모,착용,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도청양군,1,126.804255555555,36.4562694444444
44475,2014,8,18,야,월,울산시,동구,차대차,1~4,신호위반,남,48,1,0.15%~0.19%,안전모,착용,특별광역시도,교차로,교차로내,커브ㆍ곡각 ,좌,평지  ,교차로,교차로 - 사지,포장,건조,맑음,N,울산시동구,1,129.416691882745,35.5051699632486
44571,2014,8,14,주,수,충청남도,홍성군,차량단독,미상,안전운전 의무 불이행,남,55,1,0,안전모,미착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도홍성군,1,126.662908333333,36.5983611111111
44581,2014,8,17,주,수,경기도,파주시,차대차,미상,안전운전 의무 불이행,남,81,1,0.05%~0.09%,안전모,미착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경기도파주시,1,126.781952777777,37.7570833333333
44591,2014,8,18,야,수,전라남도,신안군,차량단독,미상,안전운전 의무 불이행,남,69,1,0,,,,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,젖음/습기,흐림,N,전라남도신안군,1,126.381730555555,34.7898111111111
44795,2014,8,0,야,일,충청남도,논산시,차량단독,15~,안전운전 의무 불이행,남,36,1,0,안전모,미착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청남도논산시,1,127.100911111111,36.1842027777777
44869,2014,9,13,주,월,전라남도,고흥군,차량단독,10~14,안전운전 의무 불이행,남,59,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,전라남도고흥군,1,127.287055555555,34.6080694444444
45027,2014,9,11,주,목,경기도,수원시,차량단독,미상,안전운전 의무 불이행,남,44,1,0,안전모,미착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도수원시,1,127.012222222222,37.3010111111111
45035,2014,9,12,주,목,경상북도,울진군,차대차,미상,안전운전 의무 불이행,남,77,1,0,안전모,미착용,군도,단일로,터널안,직선,직선,오르막,교차로아님,교차로아님,포장,건조,맑음,N,경상북도울진군,1,129.402786111111,36.9901861111111
45054,2014,9,15,주,목,전라남도,순천시,차대차,미상,안전운전 의무 불이행,남,79,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라남도순천시,1,127.489330555555,34.9476055555555
45070,2014,9,18,야,목,충청남도,부여군,차대차,10~14,안전운전 의무 불이행,남,70,1,0,안전모,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,충청남도부여군,1,126.911863888888,36.2728222222222
45074,2014,9,19,야,목,전라남도,신안군,차량단독,15~,안전운전 의무 불이행,남,76,1,0,안전모,,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라남도신안군,1,126.381730555555,34.7898111111111
45178,2014,9,9,주,토,제주시,서귀포시,차량단독,미상,안전운전 의무 불이행,남,76,1,0,,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,제주시서귀포시,1,126.512555555555,33.25235
45181,2014,9,10,주,토,경상남도,거창군,차대차,15~,중앙선 침범,남,72,1,0,안전모,착용,일반국도,단일로,기타단일로,직선,직선,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경상남도거창군,1,127.911655555555,35.683625
45242,2014,9,13,주,일,부산시,사하구,차량단독,10~14,안전운전 의무 불이행,남,60,1,0,안전모,착용,특별광역시도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,부산시사하구,1,128.977041666666,35.1014277777777
45253,2014,9,17,주,일,전라남도,나주시,차대차,미상,신호위반,남,72,1,0.10%~0.14%,,,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,전라남도나주시,1,126.712866666666,35.0128388888888
45255,2014,9,17,주,일,경상북도,포항시,차량단독,5~9,안전운전 의무 불이행,남,46,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도포항시,1,129.361666666666,36.0056861111111
45265,2014,9,21,야,일,광주시,광산구,차대차,1~4,신호위반,남,16,1,0,안전모,,특별광역시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,광주시광산구,1,126.793668011574,35.1399583648888
45355,2014,9,3,야,수,충청남도,보령시,차량단독,미상,안전운전 의무 불이행,남,18,1,0.15%~0.19%,안전모,미착용,시도,교차로,교차로내,커브ㆍ곡각 ,좌,오르막,교차로,교차로 - 삼지,포장,건조,맑음,N,충청남도보령시,1,126.614886111111,36.330575
45357,2014,9,6,주,수,경상남도,함양군,차량단독,미상,안전운전 의무 불이행,남,15,1,0,안전모,미착용,일반국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상남도함양군,1,127.727419444444,35.5174694444444
45410,2014,9,5,야,목,대전시,서구,차대차,15~,안전운전 의무 불이행,남,46,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,대전시서구,1,127.383415811453,36.3570729893642
45414,2014,9,8,주,목,충청남도,부여군,차대차,15~,신호위반,남,74,1,0,안전모,착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,충청남도부여군,1,126.911863888888,36.2728222222222
45422,2014,9,10,주,목,경기도,화성시,차량단독,1~4,안전운전 의무 불이행,남,23,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경기도화성시,1,126.833530555555,37.1968166666666
45450,2014,9,19,야,목,서울시,강서구,차대차,1~4,안전운전 의무 불이행,남,20,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시강서구,1,126.851675,37.5481555555555
45574,2014,9,16,주,토,경기도,파주시,차대차,15~,안전운전 의무 불이행,남,44,1,0,안전모,,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,경기도파주시,1,126.781952777777,37.7570833333333
45776,2014,9,4,야,수,경상북도,칠곡군,차대차,15~,안전운전 의무 불이행,남,38,1,0.05%~0.09%,안전모,미착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도칠곡군,1,128.403797222222,35.9925472222222
45783,2014,9,11,주,수,경기도,가평군,차대차,5~9,안전운전 의무 불이행,남,82,1,0,안전모,미착용,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,흐림,N,경기도가평군,1,127.511777777777,37.8288305555555
45811,2014,9,18,야,수,부산시,사상구,차대차,10~14,안전운전 의무 불이행,남,32,1,0,안전모,착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,부산시사상구,1,128.993333333333,35.1494666666666
45836,2014,9,2,야,목,경기도,남양주시,차량단독,1~4,안전운전 의무 불이행,남,43,1,0.10%~0.14%,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경기도남양주시,1,127.218633333333,37.6331777777777
45895,2014,9,12,주,금,인천시,미추홀구,차대차,15~,안전운전 의무 불이행,남,35,1,0,안전모,착용,특별광역시도,단일로,지하차도(도로)내,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,인천시미추홀구,1,126.650297226959,37.4636916934167
45940,2014,9,3,야,토,서울시,서대문구,차량단독,1~4,안전운전 의무 불이행,남,21,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시서대문구,1,126.938897222222,37.5763666666666
46017,2014,9,4,야,일,울산시,중구,차대차,미상,신호위반,남,21,1,0,안전모,,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,울산시중구,1,129.332816213431,35.5697122805921
46024,2014,9,10,주,일,전라북도,정읍시,차량단독,15~,안전운전 의무 불이행,남,64,1,0,안전모,,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도정읍시,1,126.858111111111,35.5668722222222
46035,2014,9,14,주,일,충청북도,영동군,차량단독,5~9,안전운전 의무 불이행,남,24,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,충청북도영동군,1,127.785611111111,36.1720583333333
46036,2014,9,14,주,일,충청남도,천안시,차량단독,10~14,안전운전 의무 불이행,남,30,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,우,오르막,교차로아님,교차로아님,포장,건조,맑음,N,충청남도천안시,1,127.152466666666,36.804125
46086,2014,9,10,주,월,전라남도,영광군,차대차,15~,안전운전 의무 불이행,남,77,1,0,안전모,착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,전라남도영광군,1,126.514086111111,35.2741666666666
46091,2014,9,12,주,월,경상북도,김천시,차량단독,1~4,안전운전 의무 불이행,남,17,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도김천시,1,128.1158,36.1368972222222
46170,2014,9,17,주,화,경상북도,청도군,차량단독,15~,안전운전 의무 불이행,남,69,1,0,안전모,,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,젖음/습기,비,N,경상북도청도군,1,128.7362,35.6443111111111
46256,2014,9,13,주,목,경상남도,김해시,차대차,15~,신호위반,남,47,1,0,안전모,미착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,경상남도김해시,1,128.891666666666,35.2255055555555
46287,2014,9,7,주,금,울산시,북구,차대차,미상,,남,55,1,0,안전모,착용,특별광역시도,교차로,교차로내,직선,직선,내리막,교차로,교차로 - 삼지,포장,건조,맑음,N,울산시북구,1,129.361244971292,35.5827078312412
46297,2014,9,12,주,금,강원도,인제군,차대차,15~,중앙선 침범,남,47,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,강원도인제군,1,128.172697222222,38.0669722222222
46305,2014,9,15,주,금,전라남도,영광군,차량단독,미상,안전운전 의무 불이행,남,74,1,0,안전모,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라남도영광군,1,126.514086111111,35.2741666666666
46351,2014,9,3,야,토,부산시,중구,차대차,미상,신호위반,남,18,1,0.15%~0.19%,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,부산시중구,1,129.034508333333,35.1032166666666
46400,2014,9,19,야,토,전라북도,전주시,차대차,15~,신호위반,여,58,1,0,안전모,착용,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,전라북도전주시,1,127.121919444444,35.8091888888888
46429,2014,9,3,야,일,서울시,동대문구,차량단독,5~9,안전운전 의무 불이행,남,29,1,0.15%~0.19%,안전모,착용,특별광역시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,서울시동대문구,1,127.042141666666,37.571625
46466,2014,9,17,주,일,경기도,구리시,차대사람,15~,안전운전 의무 불이행,남,34,1,0,,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도구리시,1,127.131863888888,37.591625
46467,2014,9,17,주,일,강원도,홍천군,차대차,15~,중앙선 침범,남,57,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,강원도홍천군,1,127.890841666666,37.6944222222222
46473,2014,9,18,야,일,부산시,서구,차대차,15~,,남,71,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,부산시서구,1,129.026377777777,35.0948361111111
46484,2014,9,21,야,일,서울시,관악구,차량단독,5~9,안전운전 의무 불이행,남,26,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,커브ㆍ곡각 ,우,오르막,교차로아님,교차로아님,포장,젖음/습기,비,N,서울시관악구,1,126.953844444444,37.4753861111111
46498,2014,9,9,주,월,경상북도,고령군,차량단독,5~9,안전운전 의무 불이행,남,52,1,0,,,군도,단일로,기타단일로,커브ㆍ곡각 ,우,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,경상북도고령군,1,128.265022222222,35.7229861111111
46544,2014,9,8,주,화,서울시,동작구,차대차,1~4,중앙선 침범,남,20,1,0,안전모,미착용,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,서울시동작구,1,126.941575,37.5096555555555
46562,2014,9,12,주,화,전라북도,남원시,차량단독,미상,안전운전 의무 불이행,남,61,1,0,안전모,착용,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도남원시,1,127.3925,35.4132555555555
46567,2014,9,13,주,화,전라북도,완주군,차대차,미상,안전운전 의무 불이행,남,74,1,0,,,지방도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도완주군,1,127.149597222222,35.8429694444444
46582,2014,9,18,야,화,경상북도,안동시,차대차,5~9,안전운전 의무 불이행,남,73,1,0,안전모,착용,일반국도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,경상북도안동시,1,128.731622222222,36.5654638888888
46587,2014,9,19,야,화,경기도,평택시,차대차,10~14,신호위반,남,75,1,0,안전모,미착용,일반국도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,흐림,N,경기도평택시,1,127.114655555555,36.9894388888888
46641,2014,10,17,주,수,경상북도,구미시,차대차,15~,교차로 통행방법 위반,남,87,1,0,안전모,,시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,경상북도구미시,1,128.346777777777,36.11655
46666,2014,10,0,야,목,서울시,강서구,차대차,1~4,신호위반,남,30,1,0,,,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,서울시강서구,1,126.851675,37.5481555555555
46725,2014,10,3,야,금,서울시,관악구,차대차,5~9,신호위반,남,26,1,0.10%~0.14%,안전모,착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시관악구,1,126.953844444444,37.4753861111111
46808,2014,10,15,주,토,경기도,안산시,차량단독,미상,안전운전 의무 불이행,남,59,1,0,안전모,미착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,내리막,교차로아님,교차로아님,포장,건조,맑음,N,경기도안산시,1,126.846819444444,37.2985194444444
46849,2014,10,10,주,일,경상북도,울진군,차량단독,미상,안전운전 의무 불이행,,58,1,0,안전모,미착용,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도울진군,1,129.402786111111,36.9901861111111
46859,2014,10,14,주,일,충청남도,서산시,차대차,10~14,중앙선 침범,남,71,1,0,,,지방도,교차로,교차로내,커브ㆍ곡각 ,좌,오르막,교차로,교차로 - 삼지,포장,건조,맑음,N,충청남도서산시,1,126.452163888888,36.7820972222222
46983,2014,10,14,주,화,경상북도,봉화군,차량단독,미상,안전운전 의무 불이행,남,70,1,0,안전모,미착용,이면도로,단일로,기타단일로,커브ㆍ곡각 ,좌,오르막,교차로아님,교차로아님,포장,건조,맑음,N,경상북도봉화군,1,128.734875,36.8902611111111
47024,2014,10,10,주,수,서울시,강남구,차대차,10~14,신호위반,남,47,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시강남구,1,127.049555555555,37.514575
47114,2014,10,16,주,목,서울시,성북구,차대차,15~,안전운전 의무 불이행,남,54,1,0,안전모,착용,특별광역시도,교차로,교차로부근,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시성북구,1,127.020333333333,37.5863833333333
47140,2014,10,22,야,목,경기도,화성시,차량단독,1~4,안전운전 의무 불이행,남,76,1,0,안전모,착용,,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경기도화성시,1,126.833530555555,37.1968166666666
47152,2014,10,5,야,금,경상북도,포항시,차량단독,10~14,안전운전 의무 불이행,남,29,1,0,안전모,착용,시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,경상북도포항시,1,129.361666666666,36.0056861111111
47220,2014,10,5,야,토,서울시,중랑구,차대차,15~,신호위반,남,50,1,0,안전모,착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시중랑구,1,127.094777777777,37.6038055555555
47295,2014,10,16,주,일,경기도,양평군,차량단독,미상,안전운전 의무 불이행,남,89,1,0,안전모,미착용,,단일로,기타단일로,커브ㆍ곡각 ,우,오르막,교차로아님,교차로아님,포장,건조,맑음,N,경기도양평군,1,127.489886111111,37.4889361111111
47388,2014,10,0,야,화,서울시,마포구,차대차,1~4,안전운전 의무 불이행,남,19,1,0,안전모,미착용,특별광역시도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 사지,포장,건조,맑음,N,서울시마포구,1,126.910530555555,37.5607055555555
47391,2014,10,0,야,화,인천시,서구,차대차,미상,안전운전 의무 불이행,남,25,1,0,안전모,착용,고속국도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,인천시서구,1,126.675961611619,37.5454637180429
47444,2014,10,22,야,화,충청북도,영동군,차량단독,5~9,안전운전 의무 불이행,남,32,1,0,안전모,착용,일반국도,단일로,기타단일로,커브ㆍ곡각 ,우,내리막,교차로아님,교차로아님,포장,건조,맑음,N,충청북도영동군,1,127.785611111111,36.1720583333333
47484,2014,10,18,야,수,전라북도,순창군,차량단독,5~9,안전운전 의무 불이행,남,49,1,0,안전모,미착용,군도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,전라북도순창군,1,127.139630555555,35.3713888888888
47509,2014,10,1,야,목,울산시,울주군,차량단독,15~,안전운전 의무 불이행,남,39,1,0,안전모,미착용,이면도로,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,울산시울주군,1,129.242474811581,35.5223064790022
47644,2014,10,1,야,토,대구시,달성군,차량단독,미상,안전운전 의무 불이행,남,17,1,0.05%~0.09%,,,특별광역시도,단일로,기타단일로,직선,직선,평지,교차로아님,교차로아님,포장,건조,맑음,N,대구시달성군,1,128.431399499941,35.7747502893017
47723,2014,10,13,주,일,충청남도,보령시,차량단독,5~9,안전운전 의무 불이행,남,24,1,0,안전모,착용,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,건조,맑음,N,충청남도보령시,1,126.614886111111,36.330575
47805,2014,10,21,야,월,충청남도,보령시,차량단독,미상,안전운전 의무 불이행,남,53,1,0,,,시도,단일로,기타단일로,커브ㆍ곡각 ,좌,평지  ,교차로아님,교차로아님,포장,젖음/습기,비,N,충청남도보령시,1,126.614886111111,36.330575
47908,2014,10,13,주,목,제주시,서귀포시,차량단독,15~,안전운전 의무 불이행,남,40,1,0,안전모,착용,지방도,단일로,기타단일로,커브ㆍ곡각 ,좌,오르막,교차로아님,교차로아님,포장,건조,맑음,N,제주시서귀포시,1,126.512555555555,33.25235
47955,2014,10,9,주,금,전라북도,정읍시,차대차,1~4,신호위반,남,74,1,0,안전모,착용,지방도,교차로,교차로내,직선,직선,평지,교차로,교차로 - 삼지,포장,건조,맑음,N,전라북도정읍시,1,126.858111111111,35.5668722222222
